Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Base,-0.0103440198515111,0.00278990141042701,0.307992605321708,0,0,0,5.26325366509137,0.0219350627580291,-4.01751561824983E-06,-1.47975198134269E-06,0.0231941861217009,-8.31653282119486E-06,0.0148943720049105,0,0,0,0,0,0,package://cw2/meshes/Base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw2/meshes/Base.STL,,Body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.0666875210853818,0.00364278355332764,-0.0648369138582873,0,0,0,0.26437001106024,3.20746276473134E-05,-1.44118283521323E-07,-6.30853084344804E-08,6.22704126338856E-05,-2.01894652764193E-07,6.28519936954001E-05,0,0,0,0,0,0,package://cw2/meshes/LFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw2/meshes/LFS.STL,,Suspensionsystem-1,Origin_LFS,Axis_LFS,LFS,prismatic,0.195921511885521,-0.400832554820273,-0.125694167771293,2.8339623757072,0,3.14159265358979,Base,0,0.30280101609128,-0.953053799454201,0,0,0,0,,,,,,,,
LFW,-0.012315724574073,-1.38777878078145E-17,0,0,0,0,0.193585420779862,0.000253081141332254,-5.88092833198904E-37,5.1845054750851E-21,0.000136818598566517,7.17557753438369E-37,0.000136818598566517,0,0,0,0,0,0,package://cw2/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://cw2/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,0.000410991135076699,-0.0182187173367753,-0.0397861154043609,-1.87842660467749,0,3.14159265358979,LFS,1,0,0,,,,,,,,,,,,
RFS,0.0724473276378504,-0.00242306558271338,-0.0667549990091164,0,0,0,0.26437001106024,3.20746276473134E-05,1.4411828352133E-07,6.30853084344787E-08,6.22704126338856E-05,-2.01894652764193E-07,6.28519936954002E-05,0,0,0,0,0,0,package://cw2/meshes/RFS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw2/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.224160276937101,-0.439516262899762,-0.125694167771293,2.8339623757072,0,0,Base,0,0.30280101609128,-0.953053799454201,0,0,0,0,,,,,,,,
RFW,-0.012315724574073,0,0,0,0,0,0.193585420779862,0.000253081141332254,-9.44297928840748E-22,9.68305644339428E-21,0.000136818598566517,1.01643953670516E-20,0.000136818598566517,0,0,0,0,0,0,package://cw2/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://cw2/meshes/RFW.STL,,wheel-3,Origin_RFW,Axis_RFW,RFW,continuous,0.00617079768754525,0.000974051196125147,-0.0336899045278703,-0.699426690072099,0,3.14159265358979,RFS,1,0,0,,,,,,,,,,,,
LBS,0.0754022136877307,-0.00953574862501649,-0.0222014198592475,0,0,0,0.197009126147877,1.68802738687172E-05,2.58362469530557E-21,1.18520819431776E-21,5.02184885667569E-05,1.05088759291849E-06,4.72447473350486E-05,0,0,0,0,0,0,package://cw2/meshes/LBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw2/meshes/LBS.STL,,suspensioncastle-1,Origin_LBS,Axis_LBS,LBS,prismatic,0.195921511885521,-0.220832554820273,-0.0742634321807595,2.8339623757072,0,3.14159265358979,Base,0,0.302801016091279,-0.953053799454201,0,0,0,0,,,,,,,,
LBC,0.0021267567875245,-0.00125107346378661,-2.77555756156289E-17,0,0,0,0.0337925918529465,9.9077845929407E-06,1.2779398016802E-06,4.16196805620863E-22,2.88462343109062E-06,2.46038886416933E-21,1.17553584577796E-05,0,0,0,0,0,0,package://cw2/meshes/LBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cw2/meshes/LBC.STL,,CastleCatcher-1,Origin_LBC,Axis_LBC,LBC,continuous,0.0411609911350767,-0.0150684419408276,-0.00478749419309598,-1.87842660467749,0,3.14159265358979,LBS,0,1,0,,,,,,,,,,,,
LBW,0.017684275425927,0,0,0,0,0,0.193585420779862,0.000253081141332254,-5.88092833198904E-37,5.1845054750851E-21,0.000136818598566517,7.17557753438369E-37,0.000136818598566517,0,0,0,0,0,0,package://cw2/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://cw2/meshes/LBW.STL,,wheel-1,Origin_LBW,Axis_LBW,LBW,continuous,0.01075,-0.0190326828634146,0,0,0,0,LBC,1,0,0,,,,,,,,,,,,
RBS,0.0754022136877307,-0.00953574862501652,-0.0222014198592475,0,0,0,0.197009126147877,1.68802738687172E-05,-2.41437922096227E-21,-1.24106156676994E-21,5.02184885667569E-05,1.05088759291849E-06,4.72447473350486E-05,0,0,0,0,0,0,package://cw2/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://cw2/meshes/RBS.STL,,suspensioncastle-2,Origin_RBS,Axis_RBS,RBS,prismatic,-0.218400470384632,-0.252453942719796,-0.0742634321807595,2.8339623757072,0,0,Base,0,0.30280101609128,-0.953053799454201,0,0,0,0,,,,,,,,
RBC,0.00212675678752453,-0.00125107346378658,0,0,0,0,0.0337925918529465,9.90778459294068E-06,1.2779398016802E-06,6.79399474451284E-22,2.88462343109061E-06,2.61210532719032E-21,1.17553584577795E-05,0,0,0,0,0,0,package://cw2/meshes/RBC.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://cw2/meshes/RBC.STL,,CastleCatcher-2,Origin_RBC,Axis_RBC,RBC,continuous,0.0411609911350767,-0.0150684419408277,-0.00478749419309599,-1.87842660467749,0,3.14159265358979,RBS,0,1,0,,,,,,,,,,,,
